Ticker,Price,Date,Div Yield,EPS,Total Assets,"Goodwill, Net","Intangibles, Net",Liabilities (Total),Shares (Total Common Outstanding),Book Value,P:Book,Tangable Book Value,P:Tangbook,Dividend Percent,20x EPS,15X EPS,Price/Earnings,Interest
DAL,64.15,10/21/24,$0.60 ,$7.2100 ,"$73,644 ","$9,753 ","$5,983 ","$62,539 ", 643.00 ,$17.2706 ,371.44%,-$7.20,-890.70%,0.94%,$144.20 ,$108.15 ,8.90 ,
SO,97.50,10/21/24,$2.88 ,$4.1900 ,"$139,331 ","$5,161 ",$368 ,"$107,887 "," 1,099.00 ",$28.6115 ,340.77%,$23.58,413.48%,2.95%,$83.80 ,$62.85 ,23.27 ,
AZN,188.72,10/14/24,$0.00 ,$2.9000 ,"$527,854 ","$22,789 ","$7,687 ","$325,979 "," 10,383.00 ",$19.4428 ,970.64%,$16.51,1143.23%,0.00%,$58.00 ,$43.50 ,65.08 ,
TMUS,208.38,10/22/24,$3.52 ,$7.9800 ,"$207,682 ","$12,234 ","$99,325 ","$142,967 "," 1,196.00 ",$54.1095 ,385.11%,-$39.17,-532.03%,1.69%,$159.60 ,$119.70 ,26.11 ,
GIS,38.12,10/21/24,$2.40 ,$4.2000 ,"$31,470 ","$14,751 ","$6,980 ","$22,073 ", 559.00 ,$16.8104 ,226.76%,-$22.06,-172.77%,6.30%,$84.00 ,$63.00 ,9.08 ,
HSBC,80.90,10/22/24,$3.05 ,$5.8300 ,"$3,038,677 ","$4,323 ","$8,164 ","$2,853,348 "," 19,263.00 ",$9.6210 ,840.87%,$8.97,901.62%,3.77%,$116.60 ,$87.45 ,13.88 ,
TGT,115.28,10/14/24,$4.48 ,$9.1100 ,"$55,356 ",$631 ,$8 ,"$41,924 ", 462.00 ,$29.0736 ,396.51%,$27.69,416.32%,3.89%,$182.20 ,$136.65 ,12.65 ,
WMB,72.78,10/21/24,$1.90 ,$2.3200 ,"$52,627 ",$463 ,"$7,130 ","$40,225 "," 1,217.00 ",$10.1906 ,714.19%,$3.95,1841.82%,2.61%,$46.40 ,$34.80 ,31.37 ,
BKE,50.43,10/14/24,$1.40 ,$4.4000 ,$890 ,$0 ,$0 ,$477 , 50.00 ,$8.2600 ,610.53%,$8.26,610.53%,2.78%,$88.00 ,$66.00 ,11.46 ,
JNJ,238.73,10/14/24,$4.96 ,$8.3300 ,"$167,558 ","$36,558 ","$34,175 ","$98,784 "," 2,307.00 ",$29.8110 ,800.81%,-$0.85,-28113.84%,2.08%,$166.60 ,$124.95 ,28.66 ,
UNH,286.13,10/21/24,$8.40 ,$15.3800 ,"$273,720 ","$103,732 ","$15,194 ","$184,964 ", 924.00 ,$96.0563 ,297.88%,-$32.65,-876.31%,2.94%,$307.60 ,$230.70 ,18.60 ,
UNH,286.13,10/22/24,$8.40 ,$15.3800 ,"$273,720 ","$103,732 ","$15,194 ","$184,964 ", 924.00 ,$96.0563 ,297.88%,-$32.65,-876.31%,2.94%,$307.60 ,$230.70 ,18.60 ,
DKS,190.00,10/21/24,$4.40 ,$13.6400 ,"$9,312 ",$246 ,$57 ,"$6,694 ", 80.00 ,$32.7250 ,580.60%,$28.94,656.59%,2.32%,$272.80 ,$204.60 ,13.93 ,
GE,302.17,10/14/24,$1.12 ,$9.9800 ,"$173,300 ","$8,948 ","$4,642 ","$145,897 "," 1,088.00 ",$25.1866 ,1199.73%,$12.70,2380.08%,0.37%,$199.60 ,$149.70 ,30.28 ,
GOOG,308.80,10/14/24,$0.80 ,$6.2400 ,"$402,392 ","$29,198 ",$0 ,"$119,013 "," 12,460.00 ",$22.7431 ,1357.77%,$20.40,1513.74%,0.26%,$124.80 ,$93.60 ,49.49 ,
BP,44.43,10/21/24,$1.79 ,$2.6100 ,"$280,294 ","$12,472 ","$9,991 ","$210,011 "," 16,824.00 ",$4.1775 ,1063.54%,$2.84,1563.13%,4.03%,$52.20 ,$39.15 ,17.02 ,
ANF,87.32,10/14/24,$0.00 ,$6.3600 ,"$2,974 ",$0 ,$0 ,"$1,939 ", 51.00 ,$20.2941 ,430.27%,$20.29,430.27%,0.00%,$127.20 ,$95.40 ,13.73 ,
WMT,123.10,10/21/24,$0.83 ,$1.9200 ,"$252,399 ","$28,113 ",$0 ,"$168,538 "," 8,054.00 ",$10.4123 ,1182.25%,$6.92,1778.44%,0.67%,$38.40 ,$28.80 ,64.11 ,
PG,147.68,10/14/24,$4.03 ,$6.6600 ,"$122,370 ","$40,303 ","$22,047 ","$72,083 "," 2,357.00 ",$21.3352 ,692.19%,-$5.12,-2885.53%,2.73%,$133.20 ,$99.90 ,22.17 ,
TFLO,50.58,10/14/24,$0.00 ,$2.7500 ,"$97,703 ","$18,358 ","$15,072 ","$71,762 "," 4,308.00 ",$6.0216 ,839.98%,-$1.74,-2909.58%,0.00%,$55.00 ,$41.25 ,18.39 ,
NKE,54.06,10/14/24,$1.48 ,$3.9400 ,"$38,110 ",$240 ,$259 ,"$23,680 "," 1,503.00 ",$9.6008 ,563.08%,$9.27,583.25%,2.74%,$78.80 ,$59.10 ,13.72 ,
QCOM,130.77,10/21/24,$3.40 ,$7.8100 ,"$51,040 ","$10,642 ","$1,408 ","$29,459 "," 1,114.00 ",$19.3725 ,675.03%,$8.56,1528.46%,2.60%,$156.20 ,$117.15 ,16.74 ,
GSK,52.17,10/21/24,$1.54 ,$2.5600 ,"$75,099 ","$8,669 ","$18,796 ","$58,111 "," 4,056.00 ",$4.1884 ,1245.59%,-$2.58,-2019.68%,2.95%,$51.20 ,$38.40 ,20.38 ,
META,617.04,10/14/24,$2.00 ,$16.1900 ,"$229,623 ","$20,654 ",$788 ,"$76,455 ","$2,561 ",$59.8079 ,1031.70%,$51.44,1199.64%,0.32%,$323.80 ,$242.85 ,38.11 ,
TM,211.38,10/21/24,$7.36 ,$24.6200 ,"$593,853 ",$0 ,"$8,932 ","$368,337 "," 13,474.00 ",$16.7371 ,1262.94%,$16.07,1315.03%,3.48%,$492.40 ,$369.30 ,8.59 ,
KO,76.44,10/14/24,$1.94 ,$2.7500 ,"$97,703 ","$18,358 ","$14,865 ","$71,762 "," 4,308.00 ",$6.0216 ,1269.43%,-$1.69,-4522.16%,2.54%,$55.00 ,$41.25 ,27.80 ,
MSFT,395.25,10/14/24,$3.32 ,$11.8200 ,"$512,163 ","$119,200 ","$27,597 ","$243,686 "," 7,434.00 ",$36.1147 ,1094.43%,$16.37,2414.77%,0.84%,$236.40 ,$177.30 ,33.44 ,
PEP,154.76,10/14/24,$5.42 ,$7.5300 ,"$100,495 ","$17,728 ","$16,672 ","$81,992 "," 1,274.00 ",$14.5235 ,1065.58%,-$12.48,-1240.26%,3.50%,$150.60 ,$112.95 ,20.55 ,
WM,236.42,10/21/24,$3.00 ,$6.2900 ,"$32,823 ","$9,254 ",$759 ,"$25,920 ", 401.00 ,$17.2145 ,1373.38%,-$7.76,-3048.37%,1.27%,$125.80 ,$94.35 ,37.59 ,
DOCU,48.40,10/14/24,$0.00 ,$0.4900 ,"$2,971 ",$353 ,$209 ,"$1,842 ", 205.00 ,$5.5073 ,878.83%,$2.77,1749.91%,0.00%,$9.80 ,$7.35 ,98.78 ,
BABA,136.96,10/21/24,$2.00 ,$3.9000 ,"$244,076 ","$5,914 ","$3,727 ","$107,637 "," 19,469.00 ",$7.0080 ,1954.33%,$6.51,2102.93%,1.46%,$78.00 ,$58.50 ,35.12 ,
COST,987.69,10/14/24,$4.64 ,$16.5600 ,"$69,831 ",$994 ,$0 ,"$46,209 ", 443.00 ,$53.3228 ,1852.28%,$51.08,1933.65%,0.47%,$331.20 ,$248.40 ,59.64 ,
HD,333.96,10/14/24,$9.00 ,$15.1100 ,"$76,530 ","$8,455 ","$3,606 ","$75,486 ", 992.00 ,$1.0524 ,31732.60%,-$11.11,-3007.06%,2.69%,$302.20 ,$226.65 ,22.10 ,
RCKY,42.56,10/22/24,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00%,$0.00 ,$0.00 ,#DIV/0!,
,#N/A,,,,,,,,,,,,,,,,,
,#N/A,,,,,,,,,,,,,,,,,
,#N/A,,,,,,,,,,,,,,,,,
,#N/A,,,,,,,,,,,,,,,,,
,#N/A,,,,,,,,,#DIV/0!,#N/A,#DIV/0!,#N/A,#N/A,$0.00 ,$0.00 ,#N/A,
,#N/A,,,,,,,,,#DIV/0!,#N/A,#DIV/0!,#N/A,#N/A,$0.00 ,$0.00 ,#N/A,
,#N/A,,,,,,,,,#DIV/0!,#N/A,#DIV/0!,#N/A,#N/A,$0.00 ,$0.00 ,#N/A,
,#N/A,,,,,,,,,#DIV/0!,#N/A,#DIV/0!,#N/A,#N/A,$0.00 ,$0.00 ,#N/A,
,#N/A,,,,,,,,,#DIV/0!,#N/A,#DIV/0!,#N/A,#N/A,$0.00 ,$0.00 ,#N/A,
,#N/A,,,,,,,,,#DIV/0!,#N/A,#DIV/0!,#N/A,#N/A,$0.00 ,$0.00 ,#N/A,
,#N/A,,,,,,,,,#DIV/0!,#N/A,#DIV/0!,#N/A,#N/A,$0.00 ,$0.00 ,#N/A,
,#N/A,,,,,,,,,#DIV/0!,#N/A,#DIV/0!,#N/A,#N/A,$0.00 ,$0.00 ,#N/A,
,#N/A,,,,,,,,,#DIV/0!,#N/A,#DIV/0!,#N/A,#N/A,$0.00 ,$0.00 ,#N/A,
,#N/A,,,,,,,,,#DIV/0!,#N/A,#DIV/0!,#N/A,#N/A,$0.00 ,$0.00 ,#N/A,
,#N/A,,,,,,,,,#DIV/0!,#N/A,#DIV/0!,#N/A,#N/A,$0.00 ,$0.00 ,#N/A,
,#N/A,,,,,,,,,#DIV/0!,#N/A,#DIV/0!,#N/A,#N/A,$0.00 ,$0.00 ,#N/A,
,#N/A,,,,,,,,,#DIV/0!,#N/A,#DIV/0!,#N/A,#N/A,$0.00 ,$0.00 ,#N/A,
,#N/A,,,,,,,,,#DIV/0!,#N/A,#DIV/0!,#N/A,#N/A,$0.00 ,$0.00 ,#N/A,
,#N/A,,,,,,,,,#DIV/0!,#N/A,#DIV/0!,#N/A,#N/A,$0.00 ,$0.00 ,#N/A,
,#N/A,,,,,,,,,#DIV/0!,#N/A,#DIV/0!,#N/A,#N/A,$0.00 ,$0.00 ,#N/A,
,#N/A,,,,,,,,,#DIV/0!,#N/A,#DIV/0!,#N/A,#N/A,$0.00 ,$0.00 ,#N/A,
,#N/A,,,,,,,,,#DIV/0!,#N/A,#DIV/0!,#N/A,#N/A,$0.00 ,$0.00 ,#N/A,
,#N/A,,,,,,,,,#DIV/0!,#N/A,#DIV/0!,#N/A,#N/A,$0.00 ,$0.00 ,#N/A,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
